sg_uf;nm_ue;ds_cor_raca;cd_cor_raca;ds_sexo;cd_sexo;qt_candidato;qt_cand_eleitos;qt_cand_turno_2;qt_cand_nao_eleitos;qt_cand_suplentes;qt_cand_nao_informados
CE;BOA VIAGEM;Amarela;04;Masculino;2;1,0;1,0;0,0;0,0;0,0;0,0
CE;BOA VIAGEM;Branca;01;Feminino;4;6,0;4,0;0,0;2,0;0,0;0,0
CE;BOA VIAGEM;Branca;01;Masculino;2;10,0;6,0;0,0;1,0;3,0;0,0
CE;BOA VIAGEM;Não divulgável;-4;Não divulgável;-4;1,0;0,0;0,0;0,0;0,0;1,0
CE;BOA VIAGEM;Parda;03;Feminino;4;8,0;1,0;0,0;1,0;6,0;0,0
CE;BOA VIAGEM;Parda;03;Masculino;2;15,0;3,0;0,0;3,0;9,0;0,0
CE;BOA VIAGEM;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;BREJO SANTO;Branca;01;Feminino;4;9,0;0,0;0,0;3,0;5,0;1,0
CE;BREJO SANTO;Branca;01;Masculino;2;22,0;6,0;0,0;8,0;8,0;0,0
CE;BREJO SANTO;Parda;03;Feminino;4;9,0;2,0;0,0;1,0;5,0;1,0
CE;BREJO SANTO;Parda;03;Masculino;2;16,0;5,0;0,0;2,0;9,0;0,0
CE;BREJO SANTO;Preta;02;Feminino;4;5,0;0,0;0,0;2,0;3,0;0,0
CE;BREJO SANTO;Preta;02;Masculino;2;6,0;0,0;0,0;2,0;3,0;1,0
CE;CAMOCIM;Amarela;04;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
CE;CAMOCIM;Branca;01;Feminino;4;14,0;1,0;0,0;5,0;7,0;1,0
CE;CAMOCIM;Branca;01;Masculino;2;18,0;4,0;0,0;2,0;12,0;0,0
CE;CAMOCIM;Parda;03;Feminino;4;24,0;1,0;0,0;4,0;19,0;0,0
CE;CAMOCIM;Parda;03;Masculino;2;61,0;9,0;0,0;11,0;41,0;0,0
CE;CAMOCIM;Preta;02;Feminino;4;3,0;0,0;0,0;0,0;3,0;0,0
CE;CAMOCIM;Preta;02;Masculino;2;5,0;0,0;0,0;0,0;5,0;0,0
CE;CAMPOS SALES;Branca;01;Feminino;4;8,0;2,0;0,0;1,0;5,0;0,0
CE;CAMPOS SALES;Branca;01;Masculino;2;10,0;4,0;0,0;2,0;4,0;0,0
CE;CAMPOS SALES;Não Informado;06;Feminino;4;1,0;0,0;0,0;0,0;0,0;1,0
CE;CAMPOS SALES;Não Informado;06;Masculino;2;1,0;0,0;0,0;0,0;0,0;1,0
CE;CAMPOS SALES;Parda;03;Feminino;4;5,0;1,0;0,0;0,0;3,0;1,0
CE;CAMPOS SALES;Parda;03;Masculino;2;11,0;4,0;0,0;2,0;5,0;0,0
CE;CAMPOS SALES;Preta;02;Masculino;2;1,0;0,0;0,0;0,0;1,0;0,0
CE;CANINDÉ;Branca;01;Feminino;4;21,0;2,0;0,0;3,0;16,0;0,0
CE;CANINDÉ;Branca;01;Masculino;2;23,0;3,0;0,0;5,0;14,0;1,0
CE;CANINDÉ;Parda;03;Feminino;4;35,0;2,0;0,0;11,0;21,0;1,0
CE;CANINDÉ;Parda;03;Masculino;2;86,0;8,0;0,0;17,0;57,0;4,0
CE;CANINDÉ;Preta;02;Feminino;4;1,0;0,0;0,0;0,0;1,0;0,0
CE;CANINDÉ;Preta;02;Masculino;2;9,0;0,0;0,0;3,0;6,0;0,0
CE;CAPISTRANO;Branca;01;Feminino;4;12,0;2,0;0,0;6,0;4,0;0,0
CE;CAPISTRANO;Branca;01;Masculino;2;13,0;3,0;0,0;4,0;6,0;0,0
CE;CAPISTRANO;Parda;03;Feminino;4;13,0;0,0;0,0;3,0;10,0;0,0
CE;CAPISTRANO;Parda;03;Masculino;2;36,0;6,0;0,0;9,0;20,0;1,0
CE;CAPISTRANO;Preta;02;Feminino;4;1,0;0,0;0,0;1,0;0,0;0,0
CE;CAPISTRANO;Preta;02;Masculino;2;1,0;0,0;0,0;1,0;0,0;0,0
